Song Title,Streams,Daily,Date
I Don't Care,69043545,17623,2026-05-10
Into You - 3LAU Remix,68668551,9835,2026-05-10
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),65648674,23807,2026-05-10
supernatural (with Troye Sivan) - remix,65195465,27308,2026-05-10
* Rule The World,64821053,14012,2026-05-10
Hands On Me,64710273,20657,2026-05-10
You Don't Know Me,62057778,13947,2026-05-10
You’ll Never Know,60215376,16067,2026-05-10
Step On Up,56018417,30924,2026-05-10
main thing,51536318,26418,2026-05-10
True Love,50891712,2734,2026-05-10
we can't be friends (wait for your love) – string version,49636481,64244,2026-05-10
Wit It This Christmas,48818680,1708,2026-05-10
* One Short Day,48753649,15619,2026-05-10
Lovin' It,45142042,12038,2026-05-10
Intro,42562630,12765,2026-05-10
How I Look On You,41502035,11373,2026-05-10
* For Good,41086951,67272,2026-05-10
Not Just On Christmas,40988946,1840,2026-05-10
* All My Love,39687571,10285,2026-05-10
* Research,39065118,11551,2026-05-10
Jason's Song (Gave It Away),38365664,15061,2026-05-10
Better Left Unsaid,37408904,10457,2026-05-10
"yes, and? (with Mariah Carey) - Remix",36687995,8221,2026-05-10
"the boy is mine (with Brandy, Monica) - Remix",35956509,13236,2026-05-10
* Dear Old Shiz,35792211,8737,2026-05-10
* Rain On Me - Purple Disco Machine Remix - Edit,34374624,6277,2026-05-10
Love Is Everything,33423641,1158,2026-05-10
"Zero To Hero - From ""Hercules""",32649719,4078,2026-05-10
Intro,31968979,1247,2026-05-10
someone like u - interlude,31791684,12316,2026-05-10
"* E più ti penso - From ""Once Upon A Time In America""",31634982,3298,2026-05-10
Put Your Hearts Up,30895302,4571,2026-05-10
7 rings (feat. 2 Chainz) - Remix,29159431,4149,2026-05-10
* Bang Bang - 3LAU Remix,24644609,1938,2026-05-10
* Defying Gravity - Edit,23452438,14310,2026-05-10
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21543932,773,2026-05-10
god is a woman - live,21344015,7792,2026-05-10
Into You - Alex Ghenea Remix,20177523,5312,2026-05-10
Somewhere Over The Rainbow - Live From Manchester,19627416,2733,2026-05-10
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),19119723,6566,2026-05-10
The Girl in the Bubble,18945840,15582,2026-05-10
Got Her Own (with Victoria Monét),18778647,3375,2026-05-10
Thank Goodness / I Couldn’t Be Happier,17606519,20281,2026-05-10
Side To Side - Slushii Remix,16948602,1526,2026-05-10
imperfect for you - acoustic,16280933,6394,2026-05-10
breathin - live,16188471,6542,2026-05-10
The Way - Live from London (feat. Mac Miller),16143842,7360,2026-05-10
we can't be friends (wait for your love) - acoustic (live from jungle city studios),16141575,8008,2026-05-10
"* Mama, I'm a Big Girl Now",16120958,2692,2026-05-10
bad idea - live,15281511,4795,2026-05-10
7 rings - live,15235759,4725,2026-05-10
* Wonderful,15127663,22224,2026-05-10
Honeymoon Avenue - Live from London,14448943,7164,2026-05-10
"* Santa, Can’t You Hear Me - Live",13993779,1493,2026-05-10
"break up with your girlfriend, i'm bored - live",13983349,4196,2026-05-10
